Age,G_t
25,9588.99986769691
26,9827.77131549752
27,10759.7638083543
28,9407.03579669794
29,12887.1712872594
30,11887.2477062467
31,11360.8304292179
32,10397.5091286308
33,11508.5322552052
34,13249.8801949498
35,11514.6554058368
36,12275.1618343943
37,9700.67931086127
38,10667.8066736055
39,13043.7243116655
40,11871.626640595
41,13211.3813244114
42,15304.9603588333
43,14073.710154162
44,13224.0042924255
45,14375.6152726346
46,15434.9649057992
47,16075.13873207
48,15322.8584572457
49,18931.6591169436
50,16383.2014056415
51,17174.0173378124
52,15797.235725122
53,15357.3317077829
54,16980.7529193307
55,20477.6692299614
56,14837.4853032637
57,17275.8654736666
58,15272.6425943733
59,14793.275532385
60,17720.7167285258
61,15656.6142006818
62,12207.1466902009
63,15766.8086983681
64,13209.8163902115
65,12238.8225033616
66,18433.8454762191
67,16648.7361915607
68,11910.7856792208
69,13787.2517791807
70,16012.5944327583
71,8643.09993301283
72,15007.6328324757
73,10865.9049918762
74,8794.52893327244
75,28178.2722656177
76,14124.2985134919
77,17269.290694585
78,25623.0767597242
79,15385.0858042756
80,12270.0466934639
81,15258.0750060571
82,15420.7720436602
83,17714.2966078416
84,19342.8269295536
85,69485
86,9393.26620204298
87,33296
88,3766
89,66835.0025959452
91,9241
92,62900.8592548623
